"Owner";"Project name";"Language";"Domain";"Commits";"First bot adoption";"Num. of bots"
"twbs";"bootstrap";"JavaScript";"Web libraries and frameworks";"16692";"2014-10-11";"2"
"facebook";"react";"JavaScript";"Web libraries and frameworks";"8924";"2016-03-03";"1"
"tensorflow";"tensorflow";"C++";"Software tools";"21122";"2015-12-18";"2"
"angular";"angular.js";"JavaScript";"Web libraries and frameworks";"8568";"2016-06-06";"1"
"facebook";"react-native";"JavaScript";"Web libraries and frameworks";"11576";"2016-03-31";"1"
"torvalds";"linux";"C";"System software";"693134";"2017-01-31";"1"
"jquery";"jquery";"JavaScript";"Web libraries and frameworks";"6261";"2016-11-07";"1"
"apple";"swift";"C++";"System software";"58198";"2016-01-26";"1"
"meteor";"meteor";"JavaScript";"Web libraries and frameworks";"19378";"2013-12-07";"1"
"rails";"rails";"Ruby";"Web libraries and frameworks";"64402";"2014-05-27";"1"
"moment";"moment";"JavaScript";"Non-web libraries and frameworks";"3541";"2016-11-03";"1"
"facebookincubator";"create-react-app";"JavaScript";"Web libraries and frameworks";"1170";"2016-07-22";"1"
"Microsoft";"vscode";"TypeScript";"Software tools";"22560";"2015-11-16";"1"
"webpack";"webpack";"JavaScript";"Web libraries and frameworks";"4512";"2017-04-04";"2"
"jakubroztocil";"httpie";"Python";"Software tools";"934";"2015-03-16";"1"
"google";"material-design-icons";"CSS";"Web libraries and frameworks";"122";"2015-06-02";"1"
"jekyll";"jekyll";"Ruby";"Application software";"9182";"2015-11-25";"1"
"AFNetworking";"AFNetworking";"Objective-C";"Software tools";"2733";"2015-12-04";"1"
"google";"material-design-lite";"HTML";"Web libraries and frameworks";"2872";"2015-07-07";"2"
"angular";"angular";"TypeScript";"Web libraries and frameworks";"8370";"2014-11-25";"2"
"requests";"requests";"Python";"Software tools";"5208";"2017-01-18";"1"
"ReactiveX";"RxJava";"Java";"System software";"5161";"2016-06-23";"1"
"kubernetes";"kubernetes";"Go";"Software tools";"53382";"2015-09-27";"2"
