owner,name,month_start,month_end,avg_comments,avg_review_comments,num_commits,avg_churn,avg_changed_files,avg_close_time_seconds,num_pull_requests
AFNetworking,AFNetworking,2015-06-07,2015-07-06,1.3333,0.0,9,157.6667,7.6667,1452821.3333,3
AFNetworking,AFNetworking,2015-07-07,2015-08-05,2.5714,1.7143,13,116.1429,1.7143,986806.5714,7
AFNetworking,AFNetworking,2015-08-06,2015-09-04,6.0,0.5,7,139.8333,4.8333,1022904.3333,6
AFNetworking,AFNetworking,2015-09-05,2015-10-04,0.0,0.0,2,6.0,1.0,337852.0,1
AFNetworking,AFNetworking,2015-10-05,2015-11-03,5.125,0.875,27,137.5625,4.9375,76681.1875,16
AFNetworking,AFNetworking,2015-11-04,2015-12-03,2.3846,0.3846,55,74.9231,3.6538,73993.5,26
AFNetworking,AFNetworking,2015-12-05,2016-01-03,2.3125,0.0625,21,51.6875,2.375,218064.125,16
AFNetworking,AFNetworking,2016-01-04,2016-02-02,3.1818,0.0,16,41.4545,8.8182,1012503.7273,11
AFNetworking,AFNetworking,2016-02-03,2016-03-03,2.375,0.0,13,57.5,1.625,1247205.5,8
AFNetworking,AFNetworking,2016-03-04,2016-04-02,1.1429,0.0,8,21.1429,2.2857,285792.5714,7
AFNetworking,AFNetworking,2016-04-03,2016-05-02,1.25,0.0,7,57.25,4.75,383404.0,4
AFNetworking,AFNetworking,2016-05-03,2016-06-01,5.0,0.6667,6,36.6667,3.0,1327087.6667,3
gdi2290,angular-starter,2015-10-29,2015-11-27,0.8,0.4,5,53.2,5.4,9756.2,5
gdi2290,angular-starter,2015-11-28,2015-12-27,0.8462,0.0,22,40.4615,2.7692,67427.4615,13
gdi2290,angular-starter,2015-12-28,2016-01-26,2.1429,0.1429,7,2.5714,0.5,36205.7857,14
gdi2290,angular-starter,2016-01-27,2016-02-25,1.2941,0.2353,7,1.1765,0.4118,87719.7647,17
gdi2290,angular-starter,2016-02-26,2016-03-26,1.24,0.04,16,3.2,0.8,173377.52,25
gdi2290,angular-starter,2016-03-27,2016-04-25,1.5263,0.6842,14,9.4737,1.2632,67378.5263,19
gdi2290,angular-starter,2016-04-27,2016-05-26,0.9048,0.0,31,38.3333,3.381,129839.1429,21
gdi2290,angular-starter,2016-05-27,2016-06-25,1.8667,0.5333,15,43.6,1.7333,221925.5333,15
gdi2290,angular-starter,2016-06-26,2016-07-25,0.8333,0.0,5,235.8333,12.3333,378268.8333,6
gdi2290,angular-starter,2016-07-26,2016-08-24,0.4,0.0,144,98.3333,4.6667,1091422.8,15
gdi2290,angular-starter,2016-08-25,2016-09-23,1.1923,0.5769,39,240.4615,3.3077,241400.7692,26
gdi2290,angular-starter,2016-09-24,2016-10-23,1.1333,0.0667,12,12.7333,0.9333,404891.7333,15
angular,angular.js,2015-12-09,2016-01-07,1.0,0.5,2,106.5,3.5,30647.0,2
angular,angular.js,2016-01-08,2016-02-06,3.8889,4.6667,15,227.4444,3.5556,1562044.6667,9
angular,angular.js,2016-02-07,2016-03-07,3.8889,3.3333,14,223.8889,4.3333,793873.3333,9
angular,angular.js,2016-03-08,2016-04-06,3.8333,7.9167,17,227.4167,5.5,1154589.5,12
angular,angular.js,2016-04-07,2016-05-06,3.5263,1.7368,22,27.4737,1.5263,1902055.0,19
angular,angular.js,2016-05-07,2016-06-05,7.2222,6.7778,11,76.2222,3.8889,5162271.5556,9
angular,angular.js,2016-06-07,2016-07-06,5.8125,5.4375,21,459.625,2.4375,772356.375,16
angular,angular.js,2016-07-07,2016-08-05,2.1111,2.0,11,851.4444,3.4444,281211.1111,9
angular,angular.js,2016-08-06,2016-09-04,3.7778,3.7778,22,519.3333,20.8889,202689.2222,9
angular,angular.js,2016-09-05,2016-10-04,3.2727,4.4545,26,152.4545,1.7273,393068.4545,11
angular,angular.js,2016-10-05,2016-11-03,3.5714,5.1905,26,290.619,3.5714,510466.4286,21
angular,angular.js,2016-11-04,2016-12-03,3.2667,8.5333,38,2387.7333,8.2,1494818.4,15
ctran,annotate_models,2015-09-24,2015-10-23,0,0,0,0,0,0,0
ctran,annotate_models,2015-10-24,2015-11-22,2.0,1.0,5,33.2,2.8,388634.2,5
ctran,annotate_models,2015-11-23,2015-12-22,1.8,0.4,8,19.2,2.2,474851.8,5
ctran,annotate_models,2015-12-23,2016-01-21,0.8182,0.1818,4,16.0,1.3636,65456.5455,11
