Verified,Link,Name,Owner,Language,Domain,Stars,Unstars,Forks,Created at,Last update,Commits,Code Review,Pull Request Review,License,CI,Merge,Mention Review,Welcome,Dependencies Control,Benchmark,Issue Creator,Builder,Test,Outside
"x","https://www.github.com/twbs/bootstrap","bootstrap","twbs","JavaScript","Web libraries and frameworks",113607,601,52932,"July 29, 2011","August 9, 2017",16692,"A1","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/facebook/react","react","facebook","JavaScript","Web libraries and frameworks",73151,946,13760,"May 24, 2013","August 9, 2017",8924,NA,NA,"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/tensorflow/tensorflow","tensorflow","tensorflow","C++","Software tools",66365,1122,32504,"November 6, 2015","August 9, 2017",21122,NA,NA,"A4","A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/angular/angular.js","angular.js","angular","JavaScript","Web libraries and frameworks",56705,959,28326,"January 5, 2010","August 9, 2017",8568,NA,NA,"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/facebook/react-native","react-native","facebook","JavaScript","Web libraries and frameworks",52013,1093,12207,"January 9, 2015","August 9, 2017",11576,NA,NA,"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/torvalds/linux","linux","torvalds","C","System software",47828,1239,17991,"September 4, 2011","August 9, 2017",693134,NA,NA,NA,NA,NA,NA,"A24",NA,NA,NA,NA,NA,NA
"x","https://www.github.com/jquery/jquery","jquery","jquery","JavaScript","Web libraries and frameworks",45926,1019,13162,"April 3, 2009","August 9, 2017",6261,NA,NA,"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/apple/swift","swift","apple","C++","System software",39807,1006,6054,"October 23, 2015","August 9, 2017",58198,NA,NA,NA,"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/meteor/meteor","meteor","meteor","JavaScript","Web libraries and frameworks",38009,1080,4822,"January 18, 2012","August 9, 2017",19378,NA,NA,"A9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/rails/rails","rails","rails","Ruby","Web libraries and frameworks",36587,822,14972,"April 10, 2008","August 9, 2017",64402,NA,NA,NA,NA,NA,"A11","A11",NA,NA,NA,NA,NA,NA
"x","https://www.github.com/moment/moment","moment","moment","JavaScript","Non-web libraries and frameworks",32695,472,4806,"February 28, 2011","August 9, 2017",3541,NA,NA,"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/facebookincubator/create-react-app","create-react-app","facebookincubator","JavaScript","Web libraries and frameworks",32160,145,5108,"July 17, 2016","August 9, 2017",1170,NA,NA,"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/Microsoft/vscode","vscode","Microsoft","TypeScript","Software tools",31618,842,4323,"September 3, 2015","August 9, 2017",22560,NA,NA,"A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/webpack/webpack","webpack","webpack","JavaScript","Web libraries and frameworks",30920,562,3853,"March 10, 2012","August 9, 2017",4512,NA,NA,"A7","A14",NA,"A14",NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/jakubroztocil/httpie","httpie","jakubroztocil","Python","Software tools",30905,465,2079,"February 25, 2012","August 9, 2017",934,"A13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/google/material-design-icons","material-design-icons","google","CSS","Web libraries and frameworks",30853,649,6005,"October 8, 2014","August 9, 2017",122,NA,NA,"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/jekyll/jekyll","jekyll","jekyll","Ruby","Application software",30706,729,6855,"October 20, 2008","August 9, 2017",9182,NA,NA,NA,NA,"A17","A17",NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/AFNetworking/AFNetworking","AFNetworking","AFNetworking","Objective-C","Software tools",29725,589,9324,"May 31, 2011","August 9, 2017",2733,"A19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/google/material-design-lite","material-design-lite","google","HTML","Web libraries and frameworks",28210,785,4891,"January 14, 2015","August 9, 2017",2872,NA,NA,"A4",NA,NA,NA,NA,"A26",NA,NA,NA,NA,NA
"x","https://www.github.com/angular/angular","angular","angular","TypeScript","Web libraries and frameworks",26765,974,6744,"September 18, 2014","August 9, 2017",8370,NA,NA,"A4",NA,NA,NA,NA,NA,NA,NA,"A30",NA,NA
"x","https://www.github.com/requests/requests","requests","requests","Python","Software tools",26728,491,4878,"February 13, 2011","August 9, 2017",5208,"A19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/ReactiveX/RxJava","RxJava","ReactiveX","Java","System software",26378,484,4661,"January 8, 2013","August 9, 2017",5161,"A19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/kubernetes/kubernetes","kubernetes","kubernetes","Go","Software tools",25741,481,9180,"June 6, 2014","August 9, 2017",53382,NA,NA,"A31","A31","A32",NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/lodash/lodash","lodash","lodash","JavaScript","Non-web libraries and frameworks",25424,443,2614,"April 7, 2012","August 9, 2017",7858,NA,NA,"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/getlantern/lantern","lantern","getlantern","Go","Application software",25263,1012,6306,"February 17, 2011","August 10, 2017",6083,"A13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/mzabriskie/axios","axios","mzabriskie","JavaScript","Web libraries and frameworks",24781,331,1569,"August 18, 2014","August 9, 2017",668,"A13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/Microsoft/TypeScript","TypeScript","Microsoft","TypeScript","Software tools",24762,634,3604,"June 17, 2014","August 9, 2017",18969,NA,NA,"A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/ansible/ansible","ansible","ansible","Python","Software tools",24684,451,8548,"March 6, 2012","August 9, 2017",32353,"A16","A16",NA,"A16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/elastic/elasticsearch","elasticsearch","elastic","Java","Software tools",24302,388,8594,"February 8, 2010","August 9, 2017",28565,"A18",NA,NA,"A18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/TryGhost/Ghost","Ghost","TryGhost","JavaScript","Application software",23485,113,5473,"May 4, 2013","August 9, 2017",7553,NA,NA,NA,NA,NA,NA,NA,"A26",NA,NA,NA,NA,NA
"x","https://www.github.com/rust-lang/rust","rust","rust-lang","Rust","System software",22987,593,4219,"June 16, 2010","August 9, 2017",66781,NA,NA,NA,"A21","A21","A20",NA,NA,NA,NA,NA,NA,NA
"x","https://www.github.com/discourse/discourse","discourse","discourse","Ruby","Application software",22338,442,5712,"January 11, 2013","August 9, 2017",24268,NA,NA,"A22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
