owner,name,month_start,month_end,avg_comments,avg_review_comments,num_commits,avg_churn,avg_changed_files,avg_close_time_seconds,num_pull_requests
AFNetworking,AFNetworking,2015-06-07,2015-07-06,2.6667,0.6667,12,24.8333,2.3333,3334896.5,6
AFNetworking,AFNetworking,2015-07-07,2015-08-05,2.6,0.0,7,8.8,1.0,2308699.1,10
AFNetworking,AFNetworking,2015-08-06,2015-09-04,2.75,0.0,21,49.125,3.25,2786420.875,8
AFNetworking,AFNetworking,2015-09-05,2015-10-04,3.3529,0.0588,23,16.4118,1.4706,1977211.4118,17
AFNetworking,AFNetworking,2015-10-05,2015-11-03,4.4667,0.0,70,1243.2,13.0,596145.0667,15
AFNetworking,AFNetworking,2015-11-04,2015-12-03,3.6154,0.3846,401,4463.0769,48.0,340344.6154,13
AFNetworking,AFNetworking,2015-12-05,2016-01-03,3.25,0.25,12,15.875,1.0,1573817.375,8
AFNetworking,AFNetworking,2016-01-04,2016-02-02,2.75,0.0,5,943.0,8.3333,484646.5,12
AFNetworking,AFNetworking,2016-02-03,2016-03-03,2.1667,0.0,13,244.0,2.1667,4029390.6667,6
AFNetworking,AFNetworking,2016-03-04,2016-04-02,2.1429,0.0,288,1036.0,23.7143,685833.4286,7
AFNetworking,AFNetworking,2016-04-03,2016-05-02,1.3333,0.0,62,229.0,7.1667,6113980.5,6
AFNetworking,AFNetworking,2016-05-03,2016-06-01,1.5,0.0,4,7.8333,0.6667,9790146.3333,6
gdi2290,angular-starter,2015-10-29,2015-11-27,2.5,0.0,3,42.5,4.0,4013226.5,2
gdi2290,angular-starter,2015-11-28,2015-12-27,3.1667,0.3333,3,8.0,0.8333,428366.0,6
gdi2290,angular-starter,2015-12-28,2016-01-26,1.5,2.25,3,131.0,6.0,115117.0,4
gdi2290,angular-starter,2016-01-27,2016-02-25,0.875,0.0,51,18821.75,34.75,135506.375,8
gdi2290,angular-starter,2016-02-26,2016-03-26,1.2222,0.1111,3,0.0,0.0,109404.5556,9
gdi2290,angular-starter,2016-03-27,2016-04-25,2.25,0.0,3,23.25,2.75,2336280.5,4
gdi2290,angular-starter,2016-04-27,2016-05-26,0.5,0.0,10,76.5,0.7143,310747.2857,14
gdi2290,angular-starter,2016-05-27,2016-06-25,0.4074,0.0,23,88.5556,0.8889,507550.7778,27
