1. Did you notice the participation of bots during your pull request submission/acceptance process?,"2. Based on your experience, it was easier to contribute to the project:","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Explain the Project Guidelines (eg. explain how to contribute for new contributors)]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Help during the code review]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Decrease time to merge / reject your Pull Request]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Automate the continuous integration required]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Run tests / quality assurance tasks]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [License Issues related to contributions]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Improve the social interaction between integrators and contributors]","4. Do bots support contributions in any tasks not mentioned above? If yes, in which tasks? ","5. From the contributors perspective, what are the problems/challenges of using bots? (Maybe some situation in which you would like to have human support instead of a bot support)",6. What features would you like to add to the bot to better support your tasks as an open source contributor?
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Relevant support,,I have not faced with any problems.,"I think, it will be better to add more interactivity to some bots."
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Very irrelevant support,,"Comprehensive error reporting, speed",Improve cycle time 
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,,"as long as the response from bot is not abrasive, i think they're fine",not sure
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,You can only write a bot after the problem is known,http://danger.systems
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Relevant support,,"I think that it depends upon the management of the project. Although a bot can validate or not a PR based on test coverage or some other metric, the final word has to be from a human perspective, which I believe, is more capable of understand the whole value of the PR.","In this particular case, none."
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,,Edge cases where the bot is not opinionated,Dont know
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,Relevant support,Relevant support,Irrelevant support,Irrelevant support,Irrelevant support,,"Depending on the bot, sometimes it only gives a poor info about why the code won't merge. But usually the info is enough.",/
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,Assessing whether or not my solution actually accomplishes the goal,There's a whole list of valuable things from the Probot type of GitHub Apps: https://probot.github.io/. The stale issue one is the best
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,I do not know,I do not know,No,Perhaps better explanation of why something is failing. This differs between projects.,When someone takes responsibility for an issue it would be nice to have a bot remind you of the task periodically. I get busy and forget about side project tasks that I should look at.
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Relevant support,I do not know,Relevant support,I do not know,I do not know,,"Bots are great for doing 'things that can be scripted' (running tests, analyzing coverage, running liters) but really bad at e.g. providing ""general feedback"" on the patch","The PR in question only used coveralls.io which is decent; some of the features of codecov are nice (drilling into details of test-coverage of the patch, etc) but can sometimes be distracting"
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,I do not know,I do not know,,Bots can feel unfriendly in certain situations especially when they close issues that are still real problems.,N/A
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Very irrelevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very irrelevant support,,"Bots do not help with questions, i.e. ""What do you think of this approach?, Should I use a different pattern?)","Bots really only add reporting capabilities.  I.e. my code passed CI, license is valid, etc .  Bots are complementary to existing services, they do nothing on there own."
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,Very irrelevant support,,"Bots take care of automation/CI/rollups, humans take care of reviews. Both are needed and complimentary.",https://github.com/servo/homu/issues
Yes,When my pull request was assisted by Bots and members,Relevant support,Very irrelevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,I do not know,,Bots can't lead you to solve problem then something is wrong.,don't know
Yes,When my pull request was assisted by Bots and members,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,I do not know,testing,manual intervention to get the bot to re-test,"maybe make it provide advice, possibly with machine learning. ""Other contributors often use this style and pass moderator reviews..."""
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Irrelevant support,Very irrelevant support,,"In case of unusual but valid change not fitting in a scheme, bots seem to block contributions. To find a human for approving in this case is challanging. Bot often don't have a ""please show change to a human"" action.","Fallback to human approvement, trigger CI, show which test failed, what is necessary to get an approvement. Guide for first time contributors. Where to get help from, e.g. mailling list, IRC, Slack. "
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,Irrelevant support,Irrelevant support,Irrelevant support,Very relevant support,Irrelevant support,,I don't know,I don't know
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,"When bots fail, usually due to weird Git state, it can be annoying to figure out how to fix them for a given pull request.","Commit queues are really good -- the Rust Language's bot on GitHub, Bors, does a really good job of this."
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,"I have seen maintainers of repositories actively use (trigger) bots to do certain things, so I believe other than merging a PR, maybe those bots then even add PRs to a change log, for example.","Some of them are useless. For example, https://stickler-ci.com adds comments about code not following coding standards. However, what a developer wants is a single command to fix these issues. ",Recurrent tasks that otherwise would be tedious to do manually.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,,"When the bot is obviously wrong about something. #noqa style tags can help in code review situations, but they get messy. Process management bots have annoying bugs sometimes. And some bots make too much noise, and drown out useful discussion.","This question appears to be about a specific bot, I've answered the others as generalised answers."
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,,"They are rather primitive in their functions, so in my opinion they are only good for tasks where there are concrete criterias that bot can change against (like whether tests have failed or not)","I mainly use bots for CI, especially in open source projects where third-party pull requests can be tested automatically and greatly simplify life for maintainer, not really sure I have something to add that isn't yet present in existing tools"
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Irrelevant support,Relevant support,Irrelevant support,Very relevant support,Very relevant support,To get rid of issues which are unanswered and stay open for a long time.,"For instance, there was a case with no-response bot here, https://github.com/electron-userland/electron-packager/issues/756",N/A
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,"Yes; code review, CI/tests, CLAs",Problems include sometimes having to leave the page to accept a CLA; not seeing enough information about issues (specific tests that have failed),Automatically compile/minify for release; automatically increase version numbers; automatically deploy to package managers/ production
