Q1. Explain the Project Guidelines,Q2. Decrease code review effort,Q3. Decrease time to merge / reject of Pull Request,Q4. Automate the continuous integration task,Q5. Run tests / quality assurance tasks,Q6. License Issues related to contributions,Q7 Improve the social interaction between integrators and contributors
Neutral,Relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Irrelevant,Very relevant,Relevant,Very relevant,Very relevant,Relevant,Very irrelevant
Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Relevant
Very irrelevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant
Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant
Relevant,Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant
Very irrelevant,Very relevant,Relevant,Very relevant,Very relevant,Neutral,Neutral
Neutral,Relevant,Relevant,Neutral,Relevant,Neutral,Neutral
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Neutral,Neutral
Very irrelevant,Very irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Irrelevant,Irrelevant,Very relevant,Very relevant,Very relevant,Irrelevant,Very irrelevant
Relevant,Very irrelevant,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Relevant,Neutral
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Irrelevant,Very irrelevant
Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Very relevant,Irrelevant
Relevant,Relevant,Irrelevant,Very relevant,Very relevant,Very relevant,Very relevant
Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant
Relevant,Neutral,Relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Very relevant,Very relevant
Relevant,Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Neutral,Very relevant
Relevant,Relevant,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Very irrelevant,Neutral
Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Very relevant
Relevant,Irrelevant,Neutral,Neutral,Irrelevant,Irrelevant,Relevant
Relevant,Irrelevant,Very irrelevant,Very relevant,Very relevant,Very irrelevant,Very irrelevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Irrelevant,Relevant,Relevant,Relevant,Very irrelevant,Very irrelevant
Very relevant,Very relevant,Neutral,Very relevant,Very relevant,Very relevant,Very relevant
Neutral,Relevant,Neutral,Relevant,Relevant,Neutral,Neutral
Very relevant,Relevant,Neutral,Relevant,Very relevant,Very relevant,Neutral
Very relevant,Relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant
Very relevant,Neutral,Neutral,Neutral,Relevant,Neutral,Neutral
Very relevant,Neutral,Relevant,Very relevant,Very relevant,Very relevant,Relevant
Relevant,Neutral,Neutral,Relevant,Very relevant,Neutral,Relevant
Irrelevant,Irrelevant,Very relevant,Very relevant,Very relevant,Irrelevant,Irrelevant
Very irrelevant,Irrelevant,Irrelevant,Irrelevant,Very irrelevant,Very irrelevant,Irrelevant
Very relevant,Neutral,Very relevant,Neutral,Very relevant,Neutral,Neutral
Relevant,Relevant,Relevant,Very relevant,Relevant,Relevant,Neutral
Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Relevant,Very relevant,Irrelevant,Relevant,Relevant,Neutral,Irrelevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Neutral
Neutral,Relevant,Relevant,Relevant,Relevant,Very relevant,Relevant
Relevant,Neutral,Relevant,Relevant,Relevant,Relevant,Relevant
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Neutral,Neutral,Neutral,Neutral,Very relevant,Neutral
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Neutral,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Very relevant
Very relevant,Relevant,Very relevant,Relevant,Relevant,Relevant,Very relevant
Relevant,Very relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Irrelevant,Very relevant,Very relevant,Very relevant,Relevant,Very irrelevant,Irrelevant
Neutral,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant
Neutral,Relevant,Neutral,Very relevant,Very relevant,Neutral,Relevant
Irrelevant,Neutral,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Neutral,Relevant,Neutral,Neutral,Very relevant,Neutral
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant,Neutral
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Neutral
Very relevant,Neutral,Relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Relevant,Neutral,Relevant,Very relevant,Very relevant,Very relevant,Neutral
