Q1. Explain the Project Guidelines,Q2. Decrease code review effort,Q3. Decrease time to merge / reject of Pull Request,Q4. Automate the continuous integration task,Q5. Run tests / quality assurance tasks,Q6. License Issues related to contributions,Q7 Improve the social interaction between integrators and contributors
Very irrelevant,Very irrelevant,Very irrelevant,Relevant,Very relevant,Relevant,Very irrelevant
Very irrelevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant
Relevant,Relevant,Very relevant,Irrelevant,Irrelevant,Very relevant,Relevant
Neutral,Relevant,Very relevant,Very relevant,Very relevant,Irrelevant,Irrelevant
Very irrelevant,Relevant,Irrelevant,Very relevant,Very relevant,Neutral,Very relevant
Relevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Neutral,Relevant
Irrelevant,Very relevant,Relevant,Very relevant,Very relevant,Neutral,Irrelevant
Relevant,Relevant,Relevant,Relevant,Very relevant,Very relevant,Neutral
Relevant,Relevant,Neutral,Very relevant,Very relevant,Neutral,Relevant
Relevant,Relevant,Irrelevant,Relevant,Relevant,Very irrelevant,Neutral
Irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant,Irrelevant
Relevant,Neutral,Neutral,Very relevant,Very relevant,Relevant,Neutral
Relevant,Relevant,Relevant,Neutral,Very relevant,Very relevant,Neutral
Relevant,Very relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant
Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant
Very irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant,Very irrelevant
Very irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Very irrelevant,Very irrelevant
Neutral,Very relevant,Relevant,Very relevant,Very relevant,Neutral,Irrelevant
Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Very irrelevant,Very irrelevant,Very irrelevant,Very irrelevant,Very irrelevant,Very relevant,Very irrelevant
Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Neutral
